,R_fighter,B_fighter,Referee,date,location,Winner,Title Fight,weight_class,B Rounds,B Title Fights,B_current_win_streak,B_current_lose_streak,B_longest_win_streak,B_wins,B_losses,B_draw,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_Stance,B_Weight_lbs,R Rounds,R Title Fights,R_current_win_streak,R_current_lose_streak,R_longest_win_streak,R_wins,R_losses,R_draw,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_Stance,R_Weight_lbs,B_age,R_age,R_Age Range,B_Age Range
4247,Jason Lambert,Terry Martin,John McCarthy,4/15/2006,"Anaheim, California, USA",Red,False,LightHeavyweight,2,0,0,1,0,0,1,0,0,0,0,Orthodox,185,1,0,1,0,1,1,0,0,0,0,1,Orthodox,185,25.0,30.0,Experienced,Young Prospect
4248,Dan Christison,Brad Imes,John McCarthy,4/6/2006,"Las Vegas, Nevada, USA",Red,False,Heavyweight,3,1,0,1,0,0,1,0,0,0,0,Orthodox,265,0,0,0,0,0,0,0,0,0,0,0,Orthodox,265,29.0,33.0,Experienced,Experienced
4249,Luke Cummo,Jason Von Flue,Mario Yamasaki,4/6/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,3,0,1,0,1,1,0,0,0,0,1,Orthodox,170,3,1,0,1,0,0,1,0,0,0,0,Orthodox,170,30.0,25.0,Young Prospect,Experienced
4250,Stephan Bonnar,Keith Jardine,John McCarthy,4/6/2006,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,5,0,2,0,2,2,0,0,1,1,0,Orthodox,185,7,1,0,1,2,2,1,0,1,0,1,Orthodox,205,30.0,29.0,Experienced,Experienced
4251,Rashad Evans,Sam Hoger,Mario Yamasaki,4/6/2006,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,8,0,1,0,1,2,1,0,1,0,1,Orthodox,205,3,1,1,0,1,1,0,0,0,0,0,Orthodox,205,25.0,26.0,Young Prospect,Young Prospect
4252,Josh Koscheck,Ansar Chalangov,Herb Dean,4/6/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,1,0,0,1,0,0,1,0,0,0,0,Orthodox,170,5,0,2,0,2,2,1,0,0,1,1,Orthodox,170,26.0,28.0,Experienced,Young Prospect
4253,Jon Fitch,Joshua Burkman,Steve Mazzagatti,4/6/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,2,0,2,0,2,2,0,0,0,1,1,Orthodox,170,3,0,1,0,1,1,0,0,1,0,0,Orthodox,170,25.0,28.0,Experienced,Young Prospect
4254,Josh Neer,Joe Stevenson,Herb Dean,4/6/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,3,1,1,0,1,1,0,0,1,0,0,Orthodox,145,2,0,0,1,1,1,1,0,0,0,1,Orthodox,170,23.0,23.0,Young Prospect,Young Prospect
4255,Chael Sonnen,Trevor Prangley,Steve Mazzagatti,4/6/2006,"Las Vegas, Nevada, USA",Red,False,Middleweight,8,0,2,0,2,2,1,0,1,0,1,Orthodox,185,2,0,0,1,0,0,1,0,0,0,0,Southpaw,205,33.0,29.0,Experienced,Experienced
4256,Georges St-Pierre,BJ Penn,Herb Dean,3/4/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,19,3,3,0,3,6,2,0,1,4,1,Orthodox,155,11,1,2,0,3,5,1,0,2,2,1,Orthodox,185,27.0,24.0,Young Prospect,Young Prospect
4257,Rich Franklin,David Loiseau,John McCarthy,3/4/2006,"Las Vegas, Nevada, USA",Red,True,Middleweight,9,0,1,0,3,4,1,0,0,2,0,Orthodox,185,11,2,6,0,6,6,0,0,0,4,1,Southpaw,185,26.0,31.0,Experienced,Young Prospect
4258,Sam Stout,Spencer Fisher,Mario Yamasaki,3/4/2006,"Las Vegas, Nevada, USA",Red,False,Lightweight,3,0,2,0,2,2,0,0,0,0,1,Southpaw,155,0,0,0,0,0,0,0,0,0,0,0,Orthodox,155,29.0,21.0,Young Prospect,Experienced
4259,Mark Hominick,Yves Edwards,Mario Yamasaki,3/4/2006,"Las Vegas, Nevada, USA",Red,False,Lightweight,19,0,0,2,6,6,2,0,1,3,1,Southpaw,155,0,0,0,0,0,0,0,0,0,0,0,Orthodox,145,29.0,23.0,Young Prospect,Experienced
4260,Nate Marquardt,Joe Doerksen,John McCarthy,3/4/2006,"Las Vegas, Nevada, USA",Red,False,Middleweight,8,0,0,1,1,1,2,0,0,0,1,Orthodox,185,3,0,1,0,1,1,0,0,1,0,0,Orthodox,185,28.0,26.0,Young Prospect,Experienced
4261,Jeff Monson,Branden Lee Hinkle,Herb Dean,2/4/2006,"Las Vegas, Nevada, USA",Red,False,Heavyweight,1,0,1,0,1,1,0,0,0,1,0,Orthodox,235,8,0,1,0,1,1,2,0,1,0,0,Orthodox,247,32.0,35.0,Experienced,Experienced
4262,Joe Riggs,Nick Diaz,Mario Yamasaki,2/4/2006,"Las Vegas, Nevada, USA",Red,False,Welterweight,13,0,2,0,2,4,2,0,0,3,1,Southpaw,185,6,0,1,0,1,2,2,0,0,1,0,Southpaw,185,22.0,23.0,Young Prospect,Young Prospect
4263,Alessio Sakara,Elvis Sinosic,Steve Mazzagatti,2/4/2006,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,7,1,1,0,1,1,4,0,0,0,1,Orthodox,205,2,0,0,1,0,0,1,0,0,0,0,Orthodox,185,34.0,24.0,Young Prospect,Experienced
4264,Brandon Vera,Justin Eilers,Mario Yamasaki,2/4/2006,"Las Vegas, Nevada, USA",Red,False,Heavyweight,3,1,1,0,1,1,2,0,0,1,0,Orthodox,235,2,0,1,0,1,1,0,0,0,1,0,Orthodox,230,27.0,28.0,Experienced,Young Prospect
4265,Chuck Liddell,Randy Couture,John McCarthy,2/4/2006,"Las Vegas, Nevada, USA",Red,True,LightHeavyweight,40,12,7,0,7,11,4,0,2,5,2,Orthodox,205,28,3,1,0,7,12,2,0,5,6,0,Orthodox,205,42.0,36.0,Experienced,Veteran
